"Name";"Link";"Price";"Discount Percentage"
"Yoga Funny Tie Dye Yoga Leggings Top-stitch M-shaped Seam Booty Sculpt Wide Waistband Athletic Leggings";"https://eur.shein.com/Yoga-Funny-Tie-Dye-Yoga-Leggings-Top-stitch-M-shaped-Seam-Booty-Sculpt-Wide-Waistband-Athletic-Leggings-p-11421438.html";8.00;0
"Color Block Notched Neckline Tee";"https://eur.shein.com/Color-Block-Notched-Neckline-Tee-p-21941054.html";10.40;20
"EMERY ROSE Floral Print Button Detail Batwing Sleeve Blouse";"https://eur.shein.com/EMERY-ROSE-Floral-Print-Button-Detail-Batwing-Sleeve-Blouse-p-18431113.html";8.00;0
"SHEIN VARSITIE Sports Tennis Basic  V Waist   With Athletic Skirt";"https://eur.shein.com/SHEIN-VARSITIE-Sports-Tennis-Basic-V-Waist-With-Athletic-Skirt-p-29550675.html";10.00;0
"Heart & Letter Graphic Tee";"https://eur.shein.com/Heart-Letter-Graphic-Tee-p-13807187.html";5.00;0
"Yoga Basic Solid Wideband Waist Sports Leggings";"https://eur.shein.com/Yoga-Basic-Solid-Wideband-Waist-Sports-Leggings-p-11584724.html";7.20;20
"Dazy Star Solid Round Neck Slim Fit Thermal Tee";"https://eur.shein.com/Dazy-Star-Solid-Round-Neck-Slim-Fit-Thermal-Tee-p-24107267.html";4.50;25
"SHEIN LUNE Women's Long Sleeve Dandelion Printed T-Shirt";"https://eur.shein.com/SHEIN-LUNE-Women-s-Long-Sleeve-Dandelion-Printed-T-Shirt-p-27819814.html";4.00;0
"Cartoon Graphic Round Neck Tee";"https://eur.shein.com/Cartoon-Graphic-Round-Neck-Tee-p-23591350.html";3.20;20
"SHEIN VARSITIE Sports Yoga Basic Seamless With  TANK TOP AND  SHORT PANT  SET";"https://eur.shein.com/SHEIN-VARSITIE-Sports-Yoga-Basic-Seamless-With-TANK-TOP-AND-SHORT-PANT-SET-p-29821261.html";17.00;0
"Yoga Basic Zip Up Sports Jacket";"https://eur.shein.com/Yoga-Basic-Zip-Up-Sports-Jacket-p-11823386.html";10.00;0
"SHEIN EZwear High Waist Solid Wide Leg Trousers";"https://eur.shein.com/SHEIN-EZwear-High-Waist-Solid-Wide-Leg-Trousers-p-10620035.html";8.00;0
"Yoga Trendy Tie Dye Running Leggings Tummy Control Sports Tights";"https://eur.shein.com/Yoga-Trendy-Tie-Dye-Running-Leggings-Tummy-Control-Sports-Tights-p-12043112.html";8.80;20
"SHEIN Frenchy Heart Embroidery Button Front Cardigan";"https://eur.shein.com/SHEIN-Frenchy-Heart-Embroidery-Button-Front-Cardigan-p-12312444.html";14.40;20
"Lace Trim Satin Cami Top & Shorts PJ Set";"https://eur.shein.com/Lace-Trim-Satin-Cami-Top-Shorts-PJ-Set-p-12043405.html";7.00;0
"SHEIN Maternity Solid Ribbed Knit Tank Top";"https://eur.shein.com/SHEIN-Maternity-Solid-Ribbed-Knit-Tank-Top-p-29312220.html";11.00;0
"SHEIN MOD Solid Scoop Neck White Square Scarf Hem Tank Top";"https://eur.shein.com/SHEIN-MOD-Solid-Scoop-Neck-White-Square-Scarf-Hem-Tank-Top-p-12593177.html";4.00;20
"SHEIN LUNE Solid Elastic Waist Slant Pocket Sweatpants";"https://eur.shein.com/SHEIN-LUNE-Solid-Elastic-Waist-Slant-Pocket-Sweatpants-p-25405537.html";8.25;25
"SHEIN EZwear 2pcs Women's Leisure Round Neck Tight-Fitting Long-Sleeved T-Shirt With Regular Shoulder, Suitable For Spring And Autumn";"https://eur.shein.com/SHEIN-EZwear-2pcs-Women-s-Leisure-Round-Neck-Tight-Fitting-Long-Sleeved-T-Shirt-With-Regular-Shoulder-Suitable-For-Spring-And-Autumn-p-27146895.html";4.80;20
"SHEIN Running Letter Tape Waist Sports Shorts With Phone Pocket";"https://eur.shein.com/SHEIN-Running-Letter-Tape-Waist-Sports-Shorts-With-Phone-Pocket-p-10904782.html";6.00;0
"DAZY Solid Drop Shoulder Sweater Without Blouse";"https://eur.shein.com/DAZY-Solid-Drop-Shoulder-Sweater-Without-Blouse-p-21577193.html";12.00;25
"ROMWE Street Life Women's Drawstring Waist Digital Print Leisure Sports Jogger Pants";"https://eur.shein.com/ROMWE-Street-Life-Women-s-Drawstring-Waist-Digital-Print-Leisure-Sports-Jogger-Pants-p-29921741.html";14.00;0
"SHEIN Essnce Building And Letter Graphic Tee";"https://eur.shein.com/SHEIN-Essnce-Building-And-Letter-Graphic-Tee-p-20002209.html";4.80;20
"EMERY ROSE Graphic Print Raglan Sleeve Tee";"https://eur.shein.com/EMERY-ROSE-Graphic-Print-Raglan-Sleeve-Tee-p-24389509.html";8.00;0
"SHEIN Yoga Basic Scrunch Butt Wideband Waist Sports Shorts";"https://eur.shein.com/SHEIN-Yoga-Basic-Scrunch-Butt-Wideband-Waist-Sports-Shorts-p-20158479.html";3.20;20
"SHEIN LUNE Striped Print Colorblock Tee";"https://eur.shein.com/SHEIN-LUNE-Striped-Print-Colorblock-Tee-p-24632531.html";10.00;0
"SHEIN LUNE Solid Button Detail Asymmetrical Neck Tee";"https://eur.shein.com/SHEIN-LUNE-Solid-Button-Detail-Asymmetrical-Neck-Tee-p-20027485.html";5.00;0
"Women's Letter Printed Sport T-Shirt";"https://eur.shein.com/Women-s-Letter-Printed-Sport-T-Shirt-p-29146919.html";8.00;0
"SHEIN Frenchy Drop Shoulder Ribbed Knit Tee & Leggings Textured Fabric Two Piece";"https://eur.shein.com/SHEIN-Frenchy-Drop-Shoulder-Ribbed-Knit-Tee-Leggings-Textured-Fabric-Two-Piece-p-18911450.html";10.40;20
"Seamless Tie Dye Wideband Waist Sports Leggings";"https://eur.shein.com/Seamless-Tie-Dye-Wideband-Waist-Sports-Leggings-p-26019896.html";7.20;20
"Solid Drawstring Pocket Zip Up Thermal Lined Hoodie";"https://eur.shein.com/Solid-Drawstring-Pocket-Zip-Up-Thermal-Lined-Hoodie-p-5559422.html";8.00;20
"SHEIN Clasi Women's Heart Print Long Sleeve T-shirt With Ruffle Hem";"https://eur.shein.com/SHEIN-Clasi-Women-s-Heart-Print-Long-Sleeve-T-shirt-With-Ruffle-Hem-p-26652001.html";5.00;0
"Women's Elasticated High Waist Flare Bottom Leggings";"https://eur.shein.com/Women-s-Elasticated-High-Waist-Flare-Bottom-Leggings-p-28379183.html";12.00;0
"GLOWMODE Women Sports Tees & Tanks";"https://eur.shein.com/GLOWMODE-Women-Sports-Tees-Tanks-p-29297886.html";15.00;0
"Heart Print Lettuce Trim Slip Nightdress";"https://eur.shein.com/Heart-Print-Lettuce-Trim-Slip-Nightdress-p-9789341.html";4.25;15
"SHEIN ICON Grunge Asymmetrical Neck Rib-knit Tee";"https://eur.shein.com/SHEIN-ICON-Grunge-Asymmetrical-Neck-Rib-knit-Tee-p-12750489.html";3.75;25
"Solid Colored Casual Pants With Slanted Pocket";"https://eur.shein.com/Solid-Colored-Casual-Pants-With-Slanted-Pocket-p-25723572.html";13.00;0
"SHEIN PETITE Solid Elastic Waist Sweatpants";"https://eur.shein.com/SHEIN-PETITE-Solid-Elastic-Waist-Sweatpants-p-23160263.html";6.30;30
"Yoga Trendy Contrast Mesh Sports Leggings With Phone Pocket workout leggings";"https://eur.shein.com/Yoga-Trendy-Contrast-Mesh-Sports-Leggings-With-Phone-Pocket-workout-leggings-p-3495317.html";6.40;20
"SHEIN One-Piece Maternity Swimsuit With Ruffled Neckline";"https://eur.shein.com/SHEIN-One-Piece-Maternity-Swimsuit-With-Ruffled-Neckline-p-29826107.html";12.00;0
"SHEIN Frenchy Scoop Neck Crop Tee & Wide Leg Pants Two Piece";"https://eur.shein.com/SHEIN-Frenchy-Scoop-Neck-Crop-Tee-Wide-Leg-Pants-Two-Piece-p-24574463.html";11.20;20
"SHEIN LUNE Figure Graphic Drop Shoulder Sweatshirt";"https://eur.shein.com/SHEIN-LUNE-Figure-Graphic-Drop-Shoulder-Sweatshirt-p-25862246.html";9.00;0
"SHEIN Privé Contrast Heart Print Mesh Summer Tee";"https://eur.shein.com/SHEIN-Priv-Contrast-Heart-Print-Mesh-Summer-Tee-p-17433528.html";3.40;15
